麦路人,上映7天,1589.2万,118.17
秀美人生,上映18天,1194.4万,81.97
我在时间尽头等你,上映30天,5.02亿,68.94
蓝色防线,上映6天,607.3万,34.33
半条棉被,上映20天,314.0万,22.11
萌宠流浪记,上映6天,682.0万,11.25
通往春天的列车,上映7天,309.3万,9.77
小妇人,上映30天,4701.7万,9.60
邻里美好的一天,上映6天,176.1万,8.41
无“疯”也起浪,上映27天,141.1万,8.41
阿里巴巴与神灯,上映19天,1751.6万,8.34
1/2的魔法,上映36天,6632.9万,8.33
追梦险途,上映36天,59.8万,8.24
假面饭店,上映20天,1668.2万,6.09
误杀,,13.32亿,5.96
坚守1200秒,上映7天,18.1万,4.59
盗梦空间,,4.95亿,3.68
北平会馆,上映35天,793.4万,2.69
芙蓉渡,上映13天,3.3万,2.18
半条被子,上映19天,34.6万,2.17
哈利·波特与魔法石,,2.47亿,2.09
辉夜大小姐想让我告白,上映13天,387.3万,2.01
大闹天宫（京剧）,上映6天,29.3万,1.66
夺冠,点映,120.8万,1.54
骄傲的少年,上映14天,3.9万,1.28
极寒风暴,上映13天,81.5万,1.28
朝颜,上映2天,3.5万,1.19
梅艳芳菲,上映30天,93.3万,1.19
八佰,上映33天,29.21亿,2029.18
花木兰,上映12天,2.56亿,467.69
信条,上映19天,4.22亿,376.79
死无对证,上映5天,2198.5万,208.97
麦路人,上映6天,1471.0万,129.83
我在时间尽头等你,上映29天,5.02亿,70.27
秀美人生,上映17天,1112.4万,65.95
蓝色防线,上映5天,573.0万,35.80
半条棉被,上映19天,291.9万,22.64
萌宠流浪记,上映5天,670.8万,13.01
小妇人,上映29天,4692.1万,9.86
邻里美好的一天,上映5天,167.7万,9.80
无“疯”也起浪,上映26天,132.7万,9.36
1/2的魔法,上映35天,6624.6万,8.74
通往春天的列车,上映6天,299.5万,8.29
误杀,,13.32亿,7.82
阿里巴巴与神灯,上映18天,1743.3万,7.55
假面饭店,上映19天,1662.1万,6.99
坚守1200秒,上映6天,13.5万,3.74
盗梦空间,,4.95亿,3.70
大闹天宫（京剧）,上映5天,27.6万,2.72
北平会馆,上映34天,790.7万,2.66
哈利·波特与魔法石,,2.47亿,2.65
辉夜大小姐想让我告白,上映12天,385.3万,2.45
朝颜,上映首日,2.3万,2.13
星际穿越,,8.76亿,1.79
半条被子,上映18天,32.4万,1.32
梅艳芳菲,上映29天,92.1万,1.32
漫长的告别,上映26天,89.0万,1.32
追梦险途,上映35天,51.5万,1.27
雪人奇缘,,1.45亿,1.16
骄傲的少年,上映13天,2.6万,1.10
天池水怪,,41.1万,1.02
极寒风暴,上映12天,80.2万,1.01
八佰,上映32天,29.01亿,2119.71
花木兰,上映11天,2.52亿,513.14
信条,上映18天,4.19亿,416.02
死无对证,上映4天,1989.5万,237.98
麦路人,上映5天,1341.2万,151.22
我在时间尽头等你,上映28天,5.01亿,77.75
蓝色防线,上映4天,537.2万,49.03
